source_context,target_context,source_file,imported_type
domain-events,foundation-contracts,outbox/ModuleEventPublisher.java,com.opensocket.aievent.core.events.ModuleEvent
domain-events,foundation-contracts,outbox/OutboxEventDispatcher.java,com.opensocket.aievent.core.events.ModuleEvent
domain-events,foundation-contracts,outbox/TransactionalOutboxPublisher.java,com.opensocket.aievent.core.events.ModuleEvent
event-processing,foundation-contracts,decision/DecisionEngine.java,com.opensocket.aievent.core.event.EventIntakeRequest
event-processing,foundation-contracts,decision/DecisionEngine.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,dedup/DedupState.java,com.opensocket.aievent.core.event.EventSeverity
event-processing,foundation-contracts,dedup/DedupStateStore.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,dedup/InMemoryDedupStateStore.java,com.opensocket.aievent.core.event.EventSeverity
event-processing,foundation-contracts,dedup/InMemoryDedupStateStore.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,dedup/RedisDedupStateStore.java,com.opensocket.aievent.core.event.EventSeverity
event-processing,foundation-contracts,dedup/RedisDedupStateStore.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,dedup/RedissonDedupStateStore.java,com.opensocket.aievent.core.event.EventSeverity
event-processing,foundation-contracts,dedup/RedissonDedupStateStore.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,dedup/snapshot/DedupStateSnapshotRepository.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,dedup/snapshot/NoopDedupStateSnapshotRepository.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,fingerprint/FingerprintFieldResolver.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,fingerprint/FingerprintGenerator.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,fingerprint/FingerprintPolicyResolver.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,normalize/EventNormalizer.java,com.opensocket.aievent.core.event.EventIntakeRequest
event-processing,foundation-contracts,normalize/EventNormalizer.java,com.opensocket.aievent.core.event.EventSeverity
event-processing,foundation-contracts,normalize/EventNormalizer.java,com.opensocket.aievent.core.event.NormalizedEvent
event-processing,foundation-contracts,processing/DefaultEventProcessingFacade.java,com.opensocket.aievent.core.event.EventIntakeRequest
